X1,X2,X3,X4,X5,X6,X7,Y1
14.3,77,0.2,12,25.9,0.2698,2.21E-04,20.2
3.3,87,0.19,452,3.8,0.0189,,68
3.3,87,0.19,452,3.8,0.0189,,74.1
0.1,73,16.59,41,6.4,1.1596,2.89E-03,0
0.1,73,16.57,70,6,1.0193,2.47E-03,0.1
0.1,73,10.97,124,4.6,1.196,2.95E-03,0.3
0.009,132,0.15,2,19.6,5.2573,1.10E-02,2.7
0.016,145,2.08,5,12.2,0.4621,1.21E-03,12.9
0.01,136,0.39,4,14.1,0.9872,1.60E-03,11
0.003,128,0.33,4,10.7,0.3193,5.48E-04,13.4
22,41,7.46,7,54.5,0.9104,3.12E-03,16.8
0.1,59,1.86,1,9.5,6.133,2.70E-02,4
0.32,43,0.59,5,15.6,2.3976,9.94E-03,3.3
0.009,136,0.17,11,14.2,1.9069,5.86E-03,15
0.01,146,0.63,3,11.6,2.3296,4.04E-03,10.2
0.01,146,0.63,3,11.6,2.3296,4.04E-03,5.2
140.3,0,0.18,72,12.1,0.0455,,96.8
200,0,7.02,28,27,0.455,8.41E-04,16.6
200,0,1.97,85,3.4,0.3846,1.05E-03,26.7
182,0,0.83,23,30,0.2626,3.91E-04,96.3
182,0,3.98,252,3.8,0.5911,1.84E-03,30.4
15,85,30.48,19,12.7,0.3442,6.04E-04,35.3
2.24,136,1.2,15,9.7,0.1965,2.34E-04,15.5
1.8,86,26.98,7,2.7,0.5082,8.26E-04,7.5
7.3,70,10.5,15,28.3,0.6065,1.19E-03,10.2